model_type,num_samples,mean_Accuracy,std_Accuracy,mean_IoU,std_IoU,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Dice,std_Dice,mean_AUC,std_AUC
UNet18,1,0.919250638683637,0.015508220260334755,0.5229646477103234,0.05846255984207311,0.7167672302325567,0.07930907531330463,0.6895871991912524,0.11809049357592923,0.6818731628855069,0.053524713796730815,0.9140680520495186,0.025120434407008164
UNet18,16,0.9460794908659799,0.0008191937137001827,0.6469994823847498,0.0038013525995695538,0.795218025786536,0.005347012667509182,0.7805388203689031,0.004069598441368577,0.7853670910000802,0.002817350078483929,0.9566749380628108,0.001904621028363094
UNet50,1,0.9164728464682897,0.030623512528850157,0.5225830332934857,0.05032026969714632,0.7220531777540843,0.09880455132817796,0.689675650993983,0.1104875906294466,0.6812961375713349,0.04638913856513364,0.9126264607491543,0.024439088518875152
UNet50,16,0.9472455334663391,0.0006194707383335356,0.6500515602032344,0.0023439566217348627,0.8069994167486827,0.0056886902393013025,0.7740182177225748,0.0037718254163503027,0.7876488115390142,0.0017211909337151272,0.9592709343861361,0.0014399622159739643
VSUNet18,1,0.9406168244282404,0.002187050951884806,0.6121891583998998,0.008570779226911308,0.7865372931957245,0.0210524383363222,0.7408269226551056,0.019313837602497934,0.7589331660668055,0.006607638217309344,0.9488152217345976,0.004673432442226882
VSUNet18,16,0.9499008895953496,0.0002270617040435991,0.6582985405127207,0.0004374415765470647,0.833416842619578,0.0037412817719590184,0.7623190077145895,0.002716964003865287,0.7936667056878408,0.00032795704992401466,0.9665831422278628,0.00039423443075952417
VSUNet50,1,0.9388924882809321,0.005720000554111568,0.6106047603487968,0.01587813060066927,0.773287988503774,0.046443750386483164,0.7540526235103607,0.03868951193196318,0.757385135491689,0.012581023893019546,0.9499365971428796,0.005508501101203872
VSUNet50,16,0.9515958547592163,0.00010375421334602223,0.6658289210001628,0.0010981379581847547,0.8457077171405156,0.0029457357361963366,0.7621956048409143,0.003521020679613338,0.7991033097108206,0.0008138719960801176,0.9700101728281274,0.00043038143625075717
Zero-Shot VSUNet18,0,0.9065795779228212,,0.4896912589669228,,0.6287130415439606,,0.6985519975423813,,0.65612812936306,,0.8911486414720698,
Zero-Shot VSUNet50,0,0.8882046341896057,,0.2302701253443956,,0.7280152022838593,,0.2752356577664613,,0.366557116061449,,0.7617688787925451,
