model_type,num_samples,mean_Accuracy,std_Accuracy,mean_IoU,std_IoU,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Dice,std_Dice,mean_AUC,std_AUC
UNet18,1,0.6738966369628906,0.1839187169593343,0.36182424011601444,0.03210622403067145,0.6817395598689715,0.2036531864528932,0.6218894402896209,0.20978592149068462,0.48841472605398545,0.026989529476187726,0.7778465134886864,0.0664769764967112
UNet18,20,0.8802541605631511,0.0339582355990209,0.6454897476236025,0.07504455605707638,0.8642967564860979,0.04497391930641055,0.7369743766884009,0.09447052640834099,0.7691390992204349,0.061523015297457136,0.9326785356870027,0.01933589686195415
UNet50,1,0.6647883605957031,0.1809837701166691,0.3431323765360382,0.025390485720024926,0.6743508681654931,0.2055232559049789,0.6043771211681208,0.21503159389153736,0.46624567251172266,0.01982740018402535,0.7713879968534572,0.06175024080598542
UNet50,20,0.8801764424641927,0.03521904637426173,0.6526295968393485,0.045748375378217875,0.8550700708230337,0.040851620954141424,0.7518268987536431,0.051475531207909486,0.7759331295887629,0.036948756359548904,0.9282544729864857,0.019414279835652276
VSUNet18,1,0.7045774841308593,0.20491317439136575,0.4550154588736283,0.08847421721695564,0.67518068994085,0.2051347700816772,0.7377563770666408,0.14819188034108605,0.5889875945080227,0.08025040711244448,0.8510264313897217,0.11303279018160489
VSUNet18,20,0.9007877095540364,0.020991264588438523,0.7394072345892588,0.017702435381642113,0.8245741773645083,0.04949803444819833,0.8875961888829866,0.04825248382600373,0.8427045611540476,0.013405005629956867,0.9653290778301545,0.0035585866693522844
VSUNet50,1,0.7083568827311199,0.20270349436547952,0.4388455350144553,0.07121812009542919,0.6829413777589798,0.20754543934538036,0.7003134477237957,0.16703750381965202,0.5685074807263543,0.06333736768563823,0.846889720543052,0.08452127437270453
VSUNet50,20,0.9054767354329427,0.025082429581914867,0.732344255844752,0.025931025106569253,0.8505816412965456,0.03169902535158268,0.8499833545088769,0.027098567011695655,0.8374779862165451,0.019977803794948228,0.9616699527777935,0.009115863917019488
Zero-Shot VSUNet18,0,0.8859344482421875,,0.6162072286009789,,0.8462086200714112,,0.6960843861103058,,0.7569430664181709,,0.9318220765835707,
Zero-Shot VSUNet50,0,0.8169021606445312,,0.4724588057026267,,0.7457222208380699,,0.6053502479568124,,0.613719311915338,,0.8538070781905163,
