model_type,num_samples,mean_Accuracy,std_Accuracy,mean_IoU,std_IoU,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Dice,std_Dice,mean_AUC,std_AUC
IN-UNet18,1,0.9513793301960779,0.022731630283081287,0.2026045298011186,0.12474073514543088,0.6411817124379533,0.20182741792695624,0.2717493275722344,0.17328692370826138,0.3047733912832059,0.16058571738596242,0.7808667602565803,0.1299229345680466
IN-UNet18,20,0.9754328027604119,0.0013560660842061542,0.5786917962666069,0.028334750848065717,0.772175795880575,0.024132898477038613,0.7171508540709813,0.047542088950531254,0.726074921032266,0.0281827017243035,0.9840821782080947,0.002746971836443076
IN-UNet50,1,0.9633439864431108,0.004451332680937011,0.31887918507605456,0.10454729933726671,0.7545663737351932,0.10401735049615199,0.38950714960242505,0.16607101081385894,0.4563324028829349,0.12334534788900182,0.8539717431252816,0.06004765641462685
IN-UNet50,20,0.9777217986091735,0.0007352293140287285,0.6126661298766969,0.01671686618500597,0.784647629090718,0.012449713201033991,0.74570556604673,0.029885985539030376,0.7566601550768293,0.014073940097391609,0.9787191199842117,0.003952008308692546
LiteMedSAM-FT,1,0.950950865329258,0.04031154230942551,0.3654138900051337,0.10768696882523446,0.6944376507330507,0.21089861635441873,0.4880860518080197,0.12667463463863332,0.5088640895376485,0.12140033701044492,0.918652034962104,0.051005319042364675
LiteMedSAM-FT,20,0.9779437048094614,0.0004658379954895784,0.6279838010432228,0.00862694903407849,0.772986979806234,0.010807788206241144,0.78146217172108,0.01720482048341408,0.7693610215943957,0.006627357106694899,0.9870329999596597,0.0020598994794024496
UNet18,20,0.9740724173803178,0.0015607625863803874,0.5619891332728523,0.021024089375478425,0.7572899614061629,0.03735003664519721,0.7081918449155868,0.05151230335150985,0.7121195389401345,0.022857776228551216,0.9823351014980607,0.0030881077480589764
UNet50,20,0.9752200334791153,0.0010628112611329166,0.571775619283555,0.02730693246888456,0.7681677708550105,0.022597096206335352,0.7099780610511227,0.049655958961378144,0.7189297039120917,0.02817893151249254,0.9792622646235165,0.005888736189342231
VSUNet18,1,0.9674594735342359,0.005085745887851459,0.4043427944504877,0.07257884807339449,0.7520951496230232,0.0773245742681194,0.4903368385771053,0.12693037684637043,0.547334669945052,0.07910660626744058,0.925165004665749,0.04261280512749267
VSUNet18,20,0.9783743568829127,0.0007834782192820221,0.6258815829716031,0.015512046561354407,0.7900218970245785,0.013737200092591882,0.7599096156301953,0.028908495430197433,0.7673722340947106,0.012521210741816207,0.9895532364965082,0.0010978939708783633
VSUNet50,1,0.9647824677210006,0.0034265231953904893,0.33220224754740707,0.10477698599895612,0.776432500235618,0.0813044027963534,0.3957812780848823,0.16062705515979825,0.46813310772099254,0.12331116463493176,0.8927911775819166,0.050611749997003914
VSUNet50,20,0.9774710044028266,0.0007880738183995559,0.6125083084144289,0.019117599434676894,0.7810136060866099,0.013592253702664436,0.7507339379144093,0.03382344832139758,0.7564778901754863,0.01682606023241487,0.9863719118862947,0.0021891791407867337
Zero-Shot IN-UNet18,0,0.795594178494953,,0.0286672885884486,,0.0367710259964778,,0.130748290302498,,0.0551611526115309,,0.4053696672682546,
Zero-Shot IN-UNet50,0,0.0623142854088828,,0.0481229334005287,,0.0481275772409779,,0.9979779152643112,,0.0916257915752274,,0.5459068307688059,
Zero-Shot LiteMedSAM,0,0.9517195820808412,,0.0045038159102356,,0.1704932436834843,,0.0046619308330783,,0.0088859522310529,,0.6959288669859421,
Zero-Shot VSUNet18,0,0.9130190525736128,,0.3748958933921087,,0.4008861077683313,,0.91732367731276,,0.5358159045378367,,0.9707416010552916,
Zero-Shot VSUNet50,0,0.929199993610382,,0.3321637165333543,,0.4273222159771692,,0.7071964618794265,,0.4799489846364373,,0.9259895673005978,
