image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
1,0.8772888779640198,0.2467603385448455,0.2495344579219818,0.9568896889686584,0.3958424627780914,0.9724412261415616,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
101,0.8584111332893372,0.2420295029878616,0.2422456443309784,0.9963271021842957,0.389732301235199,0.9877287664843948,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
104,0.9518222212791444,0.4008567035198211,0.4106157124042511,0.944028615951538,0.5723022222518921,0.985990777386658,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
116,0.9357666373252868,0.372448980808258,0.392293632030487,0.8804208636283875,0.5427509546279907,0.9712676608790666,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
118,0.8353000283241272,0.2272442877292633,0.2272798418998718,0.9993122220039368,0.3703325986862182,0.9914730041649036,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
17,0.9461222290992736,0.4580306112766266,0.4688787162303924,0.9519163966178894,0.6282867193222046,0.986535740189239,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
20,0.8881111145019531,0.379544049501419,0.3849037885665893,0.9646100997924804,0.5502456426620483,0.973527474217852,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
21,0.952488899230957,0.4698735475540161,0.4927197098731994,0.910182535648346,0.6393387317657471,0.9815991741215148,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
31,0.9694111347198486,0.5181165933609009,0.5686839818954468,0.8535178899765015,0.6825780868530273,0.980390567355365,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
33,0.9660555720329284,0.5070990920066833,0.5160072445869446,0.9670768976211548,0.6729472279548645,0.9898709146530702,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
34,0.9395111203193665,0.3442544043064117,0.3455446660518646,0.9892696142196656,0.5121864080429077,0.9896735615154064,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
39,0.8420777916908264,0.183864489197731,0.1862602531909942,0.9346176385879515,0.310617446899414,0.9435096546919473,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
54,0.9559777975082396,0.415548026561737,0.4227825403213501,0.9604500532150269,0.5871196389198303,0.989238360865725,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
59,0.9390000104904176,0.456274151802063,0.4745081961154938,0.9223223328590392,0.6266322135925293,0.9788095077019258,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
64,0.9678221940994264,0.5065599083900452,0.7686142921447754,0.5977081060409546,0.6724722981452942,0.9224026921030452,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
65,0.9373777508735656,0.4434129893779754,0.4543614685535431,0.9484579563140868,0.6143952012062073,0.9753803985818936,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
74,0.834244430065155,0.2575523853302002,0.2649227082729339,0.9025113582611084,0.4096089899539947,0.9506641321532752,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
8,0.7741222381591797,0.1695669889450073,0.1699001342058181,0.9885687232017516,0.28996542096138,0.9823156008861912,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
85,0.9361777901649476,0.465176910161972,0.5196588039398193,0.8160731792449951,0.6349771022796631,0.921608698120142,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
9,0.9459111094474792,0.4396224319934845,0.482014387845993,0.8332969546318054,0.6107468605041504,0.9389117899914458,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
90,0.9204000234603882,0.3689773678779602,0.3768780827522278,0.9462389945983888,0.5390554666519165,0.9722339199564968,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
