run_name,num_samples,run,rep,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type,stage,experiment,is_mock,weights
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.8064430952072144,0.3153928786516189,0.483979132771492,0.5781717717647552,0.4692194253206253,0.8256552180471172,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9433068662881852,0.6276608258485794,0.7933844536542892,0.7546164780855179,0.7708856076002121,0.9553878604561408,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9413184076547624,0.6218111008405686,0.7754492044448853,0.7624954044818878,0.7664706021547317,0.9536406415522608,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:14,14,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.9446889370679856,0.6418617457151413,0.7838760375976562,0.783182430267334,0.7815807431936264,0.9602697480218696,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:16,16,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.9421136766672136,0.6339627742767334,0.7648967623710632,0.7919645696878433,0.7756550639867783,0.95917017753419,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:2,2,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.9390854716300964,0.5930580645799637,0.7994377493858338,0.7022172212600708,0.7437668710947036,0.941577387239828,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:4,4,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9370071977376938,0.5779457688331604,0.8004560172557831,0.6844850331544876,0.7313966780900956,0.9415200923524888,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:6,6,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9338434934616088,0.5909762799739837,0.7361296743154526,0.7544393002986908,0.7424874782562256,0.9402821075361114,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:8,8,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9357941150665284,0.5938032925128937,0.7553915679454803,0.7410195112228394,0.7446387261152267,0.9458150331923904,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:1,1,1,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.906848070025444,0.2960718147456646,0.8831525415182113,0.3110312931239605,0.4470498874783516,0.8850314352450729,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:10,10,1,2,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9432321816682816,0.6238438308238983,0.800117576122284,0.7435099422931671,0.7680036187171936,0.9536782148575002,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
