image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
03_test,0.9180957674980164,0.4643333256244659,0.9077829122543336,0.4873198270797729,0.6341907382011414,0.9105526267624016,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
11_test,0.8830975890159607,0.4023070931434631,0.5440199375152588,0.6069819927215576,0.5737788677215576,0.872350660960379,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
01_test,0.8908265829086304,0.3592801988124847,0.6089732050895691,0.4670202732086181,0.5286329984664917,0.8804433913309244,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
09_test,0.5848721861839294,0.1697078794240951,0.1815473437309265,0.7224009037017822,0.2901713848114013,0.6826122894706788,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
07_test,0.723430335521698,0.2407090365886688,0.2743993103504181,0.6622213125228882,0.3880185186862945,0.7781021528813274,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
10_test,0.9264819622039796,0.4163640141487121,0.8893115520477295,0.4391205012798309,0.5879335999488831,0.9108170222852762,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
13_test,0.727806568145752,0.2519720196723938,0.2921837866306305,0.6467505693435669,0.4025202095508575,0.7833083877118525,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
12_test,0.8296522498130798,0.2714221179485321,0.368751585483551,0.5069848895072937,0.4269583225250244,0.8110178025654007,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
19_test,0.9388490319252014,0.5520729422569275,0.8233880996704102,0.6262286901473999,0.7114007472991943,0.9255376764933232,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
20_test,0.7494011521339417,0.202615201473236,0.2347033023834228,0.5970985889434814,0.3369576632976532,0.7649488446950479,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
14_test,0.811032772064209,0.2836930751800537,0.3390500247478485,0.6347114443778992,0.4419951736927032,0.834850875750673,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
05_test,0.8984026908874512,0.3565587401390075,0.7172271013259888,0.4148812294006347,0.5256812572479248,0.8846816543939202,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
08_test,0.6574043035507202,0.1853795051574707,0.2091093063354492,0.6202889084815979,0.3127766251564026,0.7116841555869775,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
06_test,0.8885357975959778,0.2581258714199066,0.8095238208770752,0.274817019701004,0.4103339314460754,0.8609170361466945,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
15_test,0.9395410418510436,0.5087016820907593,0.7650758028030396,0.6028714179992676,0.6743569374084473,0.917778900807848,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
02_test,0.8169552087783813,0.3399919867515564,0.4251091480255127,0.6293627619743347,0.5074537396430969,0.8477661154894975,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
16_test,0.7760415077209473,0.283470094203949,0.3277607262134552,0.6771844029426575,0.4417245090007782,0.8255726424486796,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
17_test,0.6227178573608398,0.1869526207447052,0.2029348760843277,0.7036013007164001,0.3150127828121185,0.6982506577553783,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
04_test,0.8803130388259888,0.3840900957584381,0.550296425819397,0.5597996115684509,0.5550073385238647,0.8670924524208227,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
18_test,0.6654042601585388,0.1901100724935531,0.2084343880414962,0.6837897896766663,0.3194831609725952,0.7448190149852408,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
03_test,0.9376592040061952,0.6211501359939575,0.8442004919052124,0.7015751600265503,0.7663079500198364,0.9514199618625472,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
11_test,0.9418780207633972,0.6247520446777344,0.7930426597595215,0.7464531064033508,0.7690429091453552,0.944101690794646,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:10,resnet18_unet,UNet18,scratch,multi_train_scratch_drive_unet18_lr_e-2_ignore_class_weights,False,
