image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
03_test,0.8886885643005371,0.4652904868125915,0.6078736782073975,0.6648421883583069,0.6350829005241394,0.8565948295450452,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
11_test,0.8733308911323547,0.3731372356414795,0.5100362300872803,0.5816205739974976,0.5434813499450684,0.8361092248185346,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
01_test,0.8791364431381226,0.3822973370552063,0.5366586446762085,0.5706514120101929,0.5531333088874817,0.8517961684070485,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
09_test,0.8993191719055176,0.3714763522148132,0.5820407867431641,0.5066192746162415,0.5417174696922302,0.8208254277890887,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
07_test,0.8937696218490601,0.4098816514015198,0.6077786087989807,0.5572916865348816,0.5814412236213684,0.8537932783261378,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10_test,0.9143191576004028,0.3853775560855865,0.7290472984313965,0.4498011171817779,0.5563502311706543,0.8437718702328187,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
13_test,0.880953848361969,0.4559680223464966,0.5642446875572205,0.7038013339042664,0.6263434290885925,0.8697161644894527,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
12_test,0.8829902410507202,0.3840033411979675,0.5296369791030884,0.582730770111084,0.5549167990684509,0.8282296728837674,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
19_test,0.9026026129722596,0.4667998850345611,0.577775776386261,0.7084810137748718,0.6364874839782715,0.8847121486160714,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
20_test,0.8789089322090149,0.3878235816955566,0.4569708108901977,0.7193372845649719,0.5588946342468262,0.8759710913524326,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
14_test,0.847144603729248,0.3720008134841919,0.4191260933876037,0.7679020762443542,0.5422748923301697,0.8752497275843656,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
05_test,0.9022192358970642,0.4552883207798004,0.651028573513031,0.6022719740867615,0.625701904296875,0.8583058838457187,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
08_test,0.8978459239006042,0.3905604481697082,0.6095655560493469,0.5208576321601868,0.5617309808731079,0.8406865729553054,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
06_test,0.8871555328369141,0.4459719061851501,0.5921712517738342,0.6436691880226135,0.6168472766876221,0.8604442499678991,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
15_test,0.9111893773078918,0.186931312084198,0.7911058068275452,0.1966373026371002,0.314982533454895,0.8471332966049743,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
02_test,0.8998076319694519,0.5197921991348267,0.6483492851257324,0.7238680124282837,0.6840305924415588,0.9005560872407017,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
16_test,0.8946173191070557,0.4252832233905792,0.5975232124328613,0.59601891040802,0.5967701077461243,0.8296361323842172,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
17_test,0.8820279240608215,0.3891015648841858,0.5183703303337097,0.6094215512275696,0.56022047996521,0.8357582141354076,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
04_test,0.8777380585670471,0.0966527089476585,0.8666666746139526,0.098111592233181,0.1762685775756836,0.8474069858609387,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
18_test,0.8818559646606445,0.4162886142730713,0.4904482960700989,0.7335526347160339,0.5878584384918213,0.8744840474763158,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
03_test,0.8697674870491028,0.1205875277519226,0.8814782500267029,0.1225749552249908,0.2152219712734222,0.7214067077502752,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
11_test,0.8776545524597168,0.1137115210294723,0.651247501373291,0.1210848912596702,0.2042028307914734,0.7160952458093701,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
01_test,0.8729459643363953,0.1174540296196937,0.5676241517066956,0.1289949715137481,0.2102171927690506,0.6585912444595912,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
09_test,0.8851401209831238,0.0326292030513286,0.7519181370735168,0.0329842939972877,0.0631963610649108,0.6224241690356,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
07_test,0.8687075972557068,0.0092472909018397,0.911764681339264,0.0092555731534957,0.0183251239359378,0.6931930191752214,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
10_test,0.8916958570480347,0.1068021059036254,0.8769735097885132,0.1084266379475593,0.1929922252893448,0.7709932382489525,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
13_test,0.8798813223838806,0.2508635222911834,0.6840845942497253,0.2837343513965606,0.4011045694351196,0.761103936898389,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
12_test,0.8837943077087402,0.1109280958771705,0.7238429188728333,0.1158301159739494,0.1997034698724746,0.7000540890280488,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
19_test,0.8995461463928223,0.3029387593269348,0.6475960612297058,0.3627361357212066,0.4650084376335144,0.8012859679258288,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
20_test,0.8976103663444519,0.0566893406212329,0.7641921639442444,0.0576986484229564,0.1072961390018463,0.7150683988474734,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
14_test,0.893143355846405,0.1901070475578308,0.6413449645042419,0.2127220183610916,0.3194788992404938,0.7439453581094058,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
05_test,0.8772953152656555,0.1663235127925872,0.6806691884994507,0.1804000288248062,0.2852099239826202,0.7290113594758885,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
08_test,0.88205885887146,0.0777935907244682,0.818779706954956,0.0791565105319023,0.1443571299314499,0.6981075807907969,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
06_test,0.868649959564209,0.0783134400844574,0.889316976070404,0.0790842548012733,0.1452517211437225,0.7374229848084456,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
15_test,0.8983306288719177,0.0510999821126461,0.6234351396560669,0.0527274273335933,0.0972314402461052,0.6760910480002551,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
02_test,0.8550116419792175,0.0428776741027832,0.7962962985038757,0.0433531999588012,0.0822295323014259,0.7481675117264641,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
16_test,0.872499942779541,0.0285762082785367,0.900843858718872,0.0286663752049207,0.0555645935237407,0.6793670099829583,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
17_test,0.8859237432479858,0.1532319039106369,0.6437940001487732,0.167426660656929,0.2657434344291687,0.7081071126130825,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
04_test,0.8666692972183228,0.0,0.0,0.0,0.0,0.7385590032430424,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
18_test,0.8871412873268127,0.0182304605841636,0.95783132314682,0.0182451047003269,0.0358081236481666,0.7011335500759797,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
03_test,0.5410296320915222,0.1061549857258796,0.1290755718946457,0.374140977859497,0.1919351071119308,0.4454270867286694,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
11_test,0.4740051031112671,0.0808474421501159,0.0946343913674354,0.3568888902664184,0.1496001034975052,0.3929100147136323,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
01_test,0.5090673565864563,0.1068715304136276,0.1230672970414161,0.4481504261493683,0.1931055635213852,0.4750449523088091,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
09_test,0.5664587616920471,0.1010110229253768,0.1178032681345939,0.4147344827651977,0.1834877580404281,0.4849340603344287,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
07_test,0.3881980776786804,0.1107280552387237,0.1205817759037017,0.5753715634346008,0.1993792355060577,0.463171998448232,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
10_test,0.6085813045501709,0.0865490213036537,0.1071392297744751,0.3105112016201019,0.1593099236488342,0.4343529556273544,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
13_test,0.4987428486347198,0.0867549180984497,0.1047172546386718,0.335886150598526,0.159658670425415,0.4021570538123988,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
12_test,0.5534939765930176,0.0755803361535072,0.09257423132658,0.2916461825370788,0.1405387073755264,0.4034945765232283,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
19_test,0.4801704585552215,0.0854629427194595,0.0978145375847816,0.4036248028278351,0.1574681848287582,0.4186778679428779,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
20_test,0.5050917863845825,0.0893040522933006,0.0999972820281982,0.4550774693489074,0.1639653444290161,0.474042603415005,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
14_test,0.4488740563392639,0.0892035290598869,0.0997422784566879,0.4577747881412506,0.1637958884239196,0.4307590049110913,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
05_test,0.5345179438591003,0.1092331707477569,0.1285775005817413,0.4206421077251434,0.1969525963068008,0.4713172725228078,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
08_test,0.5596719980239868,0.0978442803025245,0.1164353936910629,0.3799583315849304,0.1782480031251907,0.4798015181322914,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
06_test,0.4895186424255371,0.1049195751547813,0.1223585456609726,0.4240149557590484,0.1899135112762451,0.427666644763174,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
15_test,0.6276726722717285,0.0686021074652671,0.0848146900534629,0.2641029953956604,0.1283959746360778,0.4275414086114715,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
02_test,0.4459075927734375,0.1223832070827484,0.1382731795310974,0.5157310962677002,0.2180774062871933,0.4578153366204689,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
16_test,0.5920665264129639,0.0911190286278724,0.1139542534947395,0.3125776350498199,0.1670194119215011,0.4542286252852209,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
17_test,0.5888288021087646,0.0739987418055534,0.0929260030388832,0.2664895355701446,0.1378004252910614,0.427398370155137,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
04_test,0.52923184633255,0.1030140668153762,0.1213400289416313,0.4054971635341644,0.186786487698555,0.4595622834730065,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
18_test,0.6113429665565491,0.0937096625566482,0.113468050956726,0.3498699367046356,0.1713611334562301,0.4947500021468796,zero_shot_resnet18_imagenet,0,,,imagenet,resnet18_unet,Zero-Shot IN-UNet18,zero_shot,__zero_shot_raw__,False,imagenet
