run_name,num_samples,run,rep,wandb_group,model_class,Accuracy,IoU,Precision,Recall,Dice,AUC,model_type,stage,experiment,is_mock,weights
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9706508628527324,0.676029490629832,0.9104855672518412,0.7296491984526317,0.802652104695638,0.9674298953514944,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:10,10,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9794660631815592,0.7796781889597575,0.8756658426920573,0.8789429871241251,0.8753595852851868,0.9933922611269476,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:12,12,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9796569395065308,0.7757907271385193,0.9116405359903972,0.8398395625750223,0.8728763500849406,0.9926055800222532,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:14,14,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.979463872909546,0.7764599601427714,0.9012966426213582,0.8491467785835266,0.8732356150945028,0.9919124608944966,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:16,16,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.977076723575592,0.755927103360494,0.8846912264823914,0.8387748217582702,0.8599555524190267,0.9916634157992992,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:18,18,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:18,resnet18_unet,0.9793484131495158,0.7759233260154724,0.8897718858718872,0.8590789635976156,0.8730783923467,0.9933055555449976,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:2,2,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.975183022816976,0.7357852498690287,0.8682214546203614,0.8342282048861186,0.8462524151802063,0.9858973582212956,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:20,20,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:20,resnet18_unet,0.9774067751566567,0.7600035484631856,0.8809372472763062,0.8468485085169474,0.8624979464213053,0.991784172025834,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:4,4,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9765305304527284,0.7440683388710022,0.8853364070256551,0.8279833030700684,0.8523236751556397,0.9885585019759908,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:6,6,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.978519115447998,0.7683970236778259,0.8840374867121379,0.8563740428288777,0.8680557775497436,0.9903379065573404,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:8,8,1,1,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9785281372070312,0.769124292532603,0.8794371740023295,0.8621835454305014,0.8684212899208069,0.9914249645727504,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:1,1,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9664123209317526,0.6251996747652689,0.9219762484232584,0.6667015167077383,0.7604546626408895,0.9525655743776378,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:10,10,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.9796926498413084,0.7795938730239869,0.8867658956845601,0.8681834475199381,0.8753364070256551,0.9936712574401872,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:12,12,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:12,resnet18_unet,0.9800550762812296,0.7797968633969625,0.9130043617884318,0.8432931900024414,0.8754614774386088,0.9927356493859848,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:14,14,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:14,resnet18_unet,0.979404915968577,0.7757431983947753,0.9008739932378134,0.8496193234125773,0.8726449060440064,0.992091096240532,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:16,16,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:16,resnet18_unet,0.9790452917416892,0.7727745048205058,0.8956295617421468,0.8507412147521972,0.8709314735730489,0.9930263961808043,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:18,18,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:18,resnet18_unet,0.9794612836837768,0.7771149945259094,0.888746079603831,0.8614679622650147,0.8738323020935058,0.9930094499136352,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:2,2,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:2,resnet18_unet,0.9749350341161092,0.7339040509859721,0.8681271354357402,0.8307143600781759,0.8448243387540182,0.98472093715295,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:20,20,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:20,resnet18_unet,0.9786778624852498,0.769764617284139,0.8895511563618977,0.851543148358663,0.8689909100532531,0.9922626478095892,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:4,4,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:4,resnet18_unet,0.9766034770011902,0.7422095346450805,0.8961064187685649,0.8146725304921468,0.8511620346705119,0.9872545614459124,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:6,6,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:6,resnet18_unet,0.9782053645451864,0.7669889330863953,0.8809498874346415,0.8583308331171672,0.8668305548032125,0.9906627618204136,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:2_ns:8,8,1,2,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:8,resnet18_unet,0.9783707451820374,0.7675072662035625,0.8836732920010885,0.8558692940076192,0.8672889431317647,0.9918857723097584,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:1,1,1,3,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:1,resnet18_unet,0.9706563981374104,0.6770503890514373,0.9060697126388548,0.7326577687263489,0.8031539495786031,0.9624456254722806,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
resnet18_unet_weights_id:FromScratch_run:1_rep:3_ns:10,10,1,3,resnet18_unet | lr:0.01 | weights_id:FromScratch | n_samples:10,resnet18_unet,0.979636127948761,0.7801895173390706,0.8794525074958801,0.8763838497797648,0.8757482465108236,0.993709201786283,UNet18,scratch,multi_train_scratch_octa2d_unet18_lr_e-2_ignore_class_weights,False,
