model_type,num_samples,mean_Accuracy,std_Accuracy,mean_IoU,std_IoU,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Dice,std_Dice,mean_AUC,std_AUC
IN-UNet18,1,0.9687207905451456,0.0030788193905447493,0.6722115671634674,0.02854281446457501,0.8530917037328084,0.06920035547123986,0.778553211847941,0.0783276735739006,0.8003211181958516,0.021618894414111085,0.97742465633266,0.011109629572505017
IN-UNet18,20,0.9779249432881673,0.0005783170861353023,0.7637248065736558,0.0037533136873197717,0.8860180894003975,0.009932438191848813,0.8471878321965536,0.005664847326276769,0.8649903419282701,0.002499662708123589,0.9925152322973093,0.0004234562110112685
IN-UNet50,1,0.9691662413279215,0.0031717861380799847,0.6749681631061766,0.037385056177944416,0.8543146235677931,0.06374639777546301,0.7811291051573224,0.08760113915029247,0.802086865319146,0.029972215247294133,0.9772402808715067,0.01614170182431859
IN-UNet50,20,0.9769764969613817,0.0002735998538716706,0.7541263892385695,0.0022946034616575573,0.882722517490387,0.007856996967962505,0.838164194477929,0.007509867566771187,0.8587221673329671,0.0015421963579828047,0.9912200115254446,0.0004205024229910427
LiteMedSAM-FT,1,0.9677712676260206,0.003299023983740573,0.656058756629626,0.0491993542486186,0.8575085252126058,0.060078029261980616,0.7557679164277182,0.1012220828377532,0.7870645567841,0.040733599223357314,0.9769841292257994,0.013243533729815649
LiteMedSAM-FT,20,0.9779437674416437,0.0005107118783697909,0.7583420040872362,0.005609413240980221,0.9009093638526069,0.005272403020157873,0.8284025379816691,0.009048744448895854,0.8615623129208883,0.003774688146358192,0.9910934411910868,0.0007020274528776788
UNet18,1,0.9667372274928623,0.003554311505037025,0.6477592177366217,0.04918102892656017,0.8512185165352292,0.06648902575096662,0.7506447482133906,0.10096737797902697,0.7799736546062761,0.04193145080731466,0.9639327231104775,0.028162654529579948
UNet18,20,0.9787364717059666,0.001060431475685119,0.7709699799749586,0.008895342970481798,0.8897458673053317,0.01147038475899597,0.8531932827631632,0.008372355912470536,0.8696913958125644,0.005813101101068508,0.9926829907581343,0.000599643280029163
UNet50,1,0.9685654172367519,0.0019353611122333617,0.6665389765633477,0.032715383797812324,0.8567332467503018,0.05761500742755093,0.7681405449973212,0.08397144421610893,0.79633969423506,0.02639319744983943,0.9703946698916153,0.021111219537700718
UNet50,20,0.9778087745772467,0.0005164784001332072,0.7615486421585084,0.003960418220248408,0.887227664205763,0.009477958104857609,0.8440371658007303,0.00659770354684507,0.8635911225212944,0.0026210104000223564,0.9915727643561785,0.00038237226043700716
VSUNet18,1,0.9683059894243876,0.004677813554630107,0.6775167446401384,0.025799363963606,0.8428164317872789,0.07423473487090873,0.8001225480238596,0.07995564098691477,0.803515381442176,0.020625476189108677,0.9809713899685809,0.00916578147451215
VSUNet18,20,0.9791761372884114,0.0005233232331281336,0.7732021706369189,0.004515152463817597,0.8964480502870348,0.00870173789155392,0.8500169855223763,0.007209404726632097,0.8712474878099229,0.002917831840485925,0.9927270496202543,0.00043607135845559437
VSUNet50,1,0.9698039333555433,0.0021341925002144042,0.6776636347240872,0.027608333488809637,0.8599649469322628,0.058457336233201825,0.7764464066823323,0.07322481232077013,0.8052838623258803,0.020923859756419076,0.9787958118010197,0.011692687616595554
VSUNet50,20,0.9767863835228814,0.00018003226722326733,0.7512871638933818,0.0032237961745364245,0.8804788045883178,0.007350817780024865,0.8369475606812371,0.009903930146224427,0.8570028795136346,0.002058386315118206,0.9915648573085366,0.0003911203883289102
Zero-Shot IN-UNet18,0,0.8634116347630819,,0.0747103488941987,,0.1531860627730687,,0.1416946151355902,,0.1384248742957909,,0.5865179228445536,
Zero-Shot IN-UNet50,0,0.0908585676550865,,0.0821324373781681,,0.0822078491747379,,0.9889295180638632,,0.1512808924913406,,0.447948645953274,
Zero-Shot LiteMedSAM,0,0.9177568523089092,,0.0,,0.0,,0.0,,0.0,,0.6130488358173546,
Zero-Shot VSUNet18,0,0.9069875319798788,,0.1790974804113405,,0.7036205673217774,,0.3507708421635228,,0.2724412951397243,,0.7824162478795867,
Zero-Shot VSUNet50,0,0.9230981103579204,,0.3194886049628258,,0.7135217742125193,,0.4513712219397227,,0.4697806950410207,,0.8464733009326594,
