image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
10011,0.9103000164031982,0.0112978778779506,0.9939393997192384,0.011298656463623,0.0223433244973421,0.7450063375627989,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10018,0.8887374997138977,0.0002246433723485,1.0,0.0002246433723485,0.0004491858417168,0.6299297172586908,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10021,0.8861687779426575,0.0331262946128845,0.9765258431434632,0.0331526920199394,0.0641282573342323,0.7259987461047716,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10025,0.9277374744415284,0.019088827073574,0.9740259647369384,0.0190985482186079,0.0374625362455844,0.6152758898366253,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10030,0.913406252861023,0.1034683585166931,0.9638336300849916,0.1038716360926628,0.1875329911708831,0.7050454231528369,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10039,0.9177250266075134,0.0166579522192478,0.9369747638702391,0.0166766382753849,0.0327700227499008,0.6348247302113501,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10042,0.9438312649726868,0.1063046902418136,0.7218095660209656,0.1108461245894432,0.1921797692775726,0.6321757705552884,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10049,0.9024937748908995,0.0438806153833866,0.9916897416114808,0.0438967570662498,0.0840720981359481,0.7241846613991569,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10054,0.9281874895095824,0.1992473304271698,0.941389501094818,0.2017500549554824,0.3322873115539551,0.7106910750352395,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10056,0.9078750014305116,0.0615649074316024,0.9777553081512452,0.0616512596607208,0.1159889623522758,0.6682642056367527,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10057,0.9142812490463256,0.0504707843065261,0.8657957315444946,0.0508687458932399,0.0960917398333549,0.6723475398041514,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10067,0.9228000044822692,0.0760023966431617,0.9797492623329164,0.0761219784617424,0.1412680745124817,0.6560847845120752,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10077,0.9125375151634216,0.1837853640317917,0.9065017104148864,0.1873365044593811,0.3105045258998871,0.6985733863347551,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10092,0.8897749781608582,0.172057643532753,0.9112381935119628,0.1749904453754425,0.2935993075370788,0.752521726439344,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10101,0.9260687232017516,0.0448930151760578,0.7864214777946472,0.045447114855051,0.0859284475445747,0.6609795967963707,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10106,0.8945124745368958,5.924521610722877e-05,0.9999998807907104,5.924521610722877e-05,0.0001184834109153,0.5887686246867165,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10110,0.9160062670707704,0.0273576024919748,0.9473684430122375,0.0273992456495761,0.0532581880688667,0.7274761045443925,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10116,0.9086562395095824,0.1308872550725937,0.9738938212394714,0.1313480883836746,0.2314770966768264,0.7295393902184957,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10123,0.9186124801635742,0.1694623380899429,0.95472514629364,0.1708352118730545,0.2898123860359192,0.7348703901744851,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10127,0.9156374931335448,0.0153195215389132,1.0,0.0153195215389132,0.0301767494529485,0.6651631598856642,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10129,0.8938312530517578,0.0036950146313756,1.0,0.0036950146313756,0.0073628234677016,0.5730416192524712,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10132,0.92349374294281,0.022518565878272,0.9929577708244324,0.0225221626460552,0.0440452955663204,0.6778913786530801,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10136,0.945368766784668,0.2678003013134002,0.7599239349365234,0.2925512492656708,0.4224644899368286,0.7985793779958893,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10149,0.9362499713897704,0.0084572760388255,0.5649350881576538,0.00851272046566,0.0167727004736661,0.6638399861871777,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10155,0.9005749821662903,0.0846950486302375,0.9774236679077148,0.0848610624670982,0.1561637967824936,0.7459728181415863,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10175,0.9104812741279602,0.0011854951735585,1.0,0.0011854951735585,0.002368182875216,0.5535057053346946,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10181,0.919099986553192,0.0287386514246463,0.9845758080482484,0.0287515949457883,0.0558716282248497,0.7206594164458033,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10184,0.9413750171661376,0.2735439836978912,0.6679273843765259,0.3166009187698364,0.4295791685581207,0.7559587736627843,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10185,0.9347875118255616,0.0255883447825908,0.4041298031806946,0.0265916157513856,0.049899835139513,0.5836095146100653,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10186,0.911899983882904,0.0136449513956904,0.989847719669342,0.0136468615382909,0.0269225463271141,0.7070369529127345,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10189,0.9186187386512756,0.1083949580788612,0.9893749952316284,0.108521282672882,0.1955890506505966,0.7632711826193948,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10205,0.9192437529563904,0.0976325199007988,0.9742160439491272,0.0978854522109031,0.1778965443372726,0.745197150839229,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10211,0.8989812731742859,0.0262079760432243,0.9886363744735718,0.026215873658657,0.0510773211717605,0.6781590801403637,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10214,0.920506238937378,0.0464087575674057,0.8880918025970459,0.0466817505657672,0.0887010097503662,0.6813204902587784,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10216,0.9148687720298768,0.1722272932529449,0.9282673001289368,0.1745503842830658,0.2938462197780609,0.7259020692850212,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10232,0.9251750111579896,0.0605775266885757,0.963795244693756,0.0607156902551651,0.114234983921051,0.680884726086403,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10243,0.90506249666214,0.034022256731987,0.5260570049285889,0.0350980795919895,0.0658056586980819,0.6465821897279156,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10244,0.9006375074386597,0.0179145038127899,0.9931507110595704,0.0179167184978723,0.0351984463632106,0.6897181601701984,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10245,0.9356062412261964,0.1200785711407661,0.9894440770149232,0.1202325969934463,0.214410975575447,0.7871554834978025,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10254,0.8947374820709229,0.0083024203777313,0.8392857313156128,0.0083156405016779,0.0164681151509284,0.6820531137051458,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10262,0.883118748664856,0.0524422377347946,0.9627906680107116,0.0525487400591373,0.0996581763029098,0.6950606395915603,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10263,0.9071124792099,0.0343079939484596,0.8873949646949768,0.034458003938198,0.0663399919867515,0.6556152998834552,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10267,0.9238937497138976,0.042914405465126,0.911519169807434,0.0430939234793186,0.0822970867156982,0.6051049301079339,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10275,0.8977937698364258,0.0539195835590362,0.9789915680885316,0.0539820455014705,0.1023220047354698,0.732774434072786,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10277,0.9106812477111816,0.0,0.0,0.0,0.0,0.6236527306012836,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10287,0.9127625226974488,0.0886654481291771,0.4720194637775421,0.0984271913766861,0.1628883332014084,0.747780090298126,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10295,0.9044125080108644,0.0023483366239815,0.9729729890823364,0.0023484898265451,0.0046856696717441,0.6802418127461609,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10304,0.8738097548484802,0.2811440527439117,0.309388130903244,0.7548825144767761,0.4388953149318695,0.9055621731462016,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10306,0.7267897129058838,0.1354858577251434,0.1373433768749237,0.9092371463775636,0.2386394441127777,0.897728111120973,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10334,0.901045262813568,0.3246436715126037,0.3417288661003113,0.8665484189987183,0.4901600182056427,0.956597480410792,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10337,0.9260517954826356,0.4055323600769043,0.4761029481887817,0.7323279976844788,0.5770516395568848,0.939514771329311,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10341,0.8799341917037964,0.3159484565258026,0.3525244295597076,0.7527908086776733,0.4801836311817169,0.9149435192656916,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10344,0.8529691696166992,0.2700510323047638,0.2787976264953613,0.8959187269210815,0.4252601265907287,0.9513304355759176,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10355,0.90639066696167,0.3069774806499481,0.3379486799240112,0.770096480846405,0.46975177526474,0.8956559957604369,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10359,0.9127748608589172,0.4120779037475586,0.4346822500228882,0.8879459500312805,0.5836475491523743,0.9651992746251488,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10372,0.9374783635139464,0.4292769730091095,0.5014422535896301,0.7489229440689087,0.6006910800933838,0.9540651223668928,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10374,0.9030362963676452,0.4082023501396179,0.4348223805427551,0.8695835471153259,0.579749584197998,0.9554778241530396,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10376,0.9001904726028442,0.3286753892898559,0.3647524416446686,0.7686808705329895,0.4947414696216583,0.9311859541670938,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10380,0.9188668727874756,0.394883394241333,0.4336612522602081,0.8153641223907471,0.566188395023346,0.9555230110108268,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10386,0.7986496090888977,0.1984147429466247,0.203373372554779,0.8905645608901978,0.3311286866664886,0.9323426239511108,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10406,0.8764932751655579,0.2953450977802276,0.3159215450286865,0.8193183541297913,0.4560099244117737,0.9230282646449096,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10409,0.8806700110435486,0.345596969127655,0.361761599779129,0.8855100870132446,0.5136708617210388,0.955662286701014,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10413,0.9648004770278932,0.5756587386131287,0.7151191234588623,0.7469533085823059,0.7306896448135376,0.9656113310570344,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10424,0.909474551677704,0.4267114400863647,0.4488574862480163,0.8963581323623657,0.5981748104095459,0.9637264614867058,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10429,0.9348273277282716,0.4296401441097259,0.4931521713733673,0.7693742513656616,0.6010465621948242,0.93702870959622,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10437,0.9064231514930724,0.4437154233455658,0.4767433702945709,0.8649529814720154,0.6146854162216187,0.9559020590474424,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10440,0.9177848100662231,0.3840291798114776,0.4168059825897217,0.8300333023071289,0.5549437403678894,0.9528395161811448,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10446,0.9347732067108154,0.4250834584236145,0.5179547071456909,0.7033296227455139,0.5965734124183655,0.9385923939872234,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10448,0.8519520163536072,0.2560895979404449,0.2658913731575012,0.8741648197174072,0.407756894826889,0.9389591170497348,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10457,0.9431483745574952,0.4309541881084442,0.4831228852272033,0.7996382713317871,0.6023312211036682,0.9517849113530858,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10471,0.9100913405418396,0.3946965932846069,0.4257091283798218,0.8441882133483887,0.5659963488578796,0.9554444686550176,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10487,0.9409301280975342,0.4886661767959595,0.595344066619873,0.7316970825195312,0.6565154194831848,0.9378797144524098,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10492,0.8743940591812134,0.3700548112392425,0.3868497312068939,0.8949993252754211,0.5402044057846069,0.9535101110812358,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10495,0.8849225044250488,0.3599542677402496,0.3783048689365387,0.8812435269355774,0.5293623208999634,0.9559374359276196,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10500,0.9196676015853882,0.4334121942520141,0.4720698297023773,0.8410841226577759,0.6047279238700867,0.9618951258869658,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
10011,0.9330624938011168,0.2807253301143646,0.917672872543335,0.2879779636859894,0.4383848905563354,0.8116988346591456,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
10018,0.9014750123023988,0.1187880784273147,0.9624094367027284,0.1193417981266975,0.2123513519763946,0.7925932491159061,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
10021,0.92230623960495,0.374099999666214,0.8773172497749329,0.3947508335113525,0.5445018410682678,0.7553437221277408,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
10025,0.930231273174286,0.1423632502555847,0.600064754486084,0.1572871506214141,0.2492433935403823,0.7044989935244141,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
10030,0.9267562627792358,0.2671502828598022,0.8773875832557678,0.2775107324123382,0.4216552376747131,0.8625574484858071,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
10039,0.9246749877929688,0.1818613857030868,0.6634472608566284,0.2003439962863922,0.3077541589736938,0.7820460658667978,zero_shot_resnet50_vessshape,0,,,vessshape,resnet50_unet,Zero-Shot VSUNet50,zero_shot,__zero_shot_raw__,False,vessshape
