image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
10571,0.28125,0.28125,0.28125,1.0,0.4390243887901306,0.5982908806420044,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
11098,0.2032470703125,0.2031930387020111,0.2031930387020111,1.0,0.337756335735321,0.8107024052143967,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
12005,0.2004665732383728,0.1993534862995147,0.1993534862995147,1.0,0.3324349224567413,0.8182042400503092,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
12455,0.40447998046875,0.2047292590141296,0.2047607898712158,0.9992485642433168,0.3398759663105011,0.951931679233822,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
12943,0.1787244975566864,0.1784905046224594,0.1784905046224594,1.0,0.3029137849807739,0.8414128842834422,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
13528,0.1693657785654068,0.1693657785654068,0.1693657785654068,1.0,0.2896711826324463,0.7455234018484137,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
14225,0.2510579526424408,0.2508547306060791,0.2508547306060791,1.0,0.4010933041572571,0.7782137575341169,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
15577,0.2153116911649704,0.2073071300983429,0.2073099762201309,0.999933898448944,0.3434207141399383,0.8906277988137632,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
1643,0.2914564311504364,0.2912209033966064,0.2912209033966064,1.0,0.4510783553123474,0.835837156197814,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
16766,0.2326253205537796,0.2322816997766494,0.2322816997766494,1.0,0.3769944906234741,0.8281738693188974,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
1816,0.3919813334941864,0.3919813334941864,0.3919813334941864,1.0,0.5631991028785706,0.8168366263956073,resnet18_unet_weights_id:FromScratch_run:1_rep:1_ns:1,1,1,1,resnet18_unet | lr:1e-2 | weights_id:FromScratch | n_samples:1,resnet18_unet,UNet18,scratch,multi_train_scratch_vessmap_unet18_lr_e-2,False,
