image,Accuracy,IoU,Precision,Recall,Dice,AUC,run_name,num_samples,run,rep,wandb_group,model_class,model_type,stage,experiment,is_mock,weights
10571,0.887969970703125,0.6266463398933411,0.9073038101196288,0.6695099472999573,0.7704764008522034,0.9429057649376272,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
11098,0.8789215087890625,0.5610929727554321,0.6812626123428345,0.7608190178871155,0.718846321105957,0.9268504584863344,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
12005,0.85382080078125,0.3099971115589142,0.8331397771835327,0.3305175900459289,0.4732790887355804,0.8075163478796333,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
12455,0.948333740234375,0.6700448393821716,0.9709121584892272,0.6837708950042725,0.802427351474762,0.993022303291904,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
12943,0.94219970703125,0.6923576593399048,0.9292566180229188,0.7308813333511353,0.8182167410850525,0.9804414075247408,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
13528,0.9196929931640624,0.6030021905899048,0.7884407043457031,0.7194024324417114,0.752341091632843,0.9508793254352385,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
14225,0.837158203125,0.3930846154689789,0.8565055727958679,0.4207963049411773,0.5643370151519775,0.8411342609517226,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
15577,0.9227447509765624,0.6355456113815308,0.948538899421692,0.6582419872283936,0.777166485786438,0.97087659326959,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
1643,0.9151763916015624,0.7224662899971008,0.9382740259170532,0.7585176825523376,0.8388742208480835,0.9780361711582232,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
16766,0.942138671875,0.773989737033844,0.895462691783905,0.8508714437484741,0.8725977540016174,0.9774947994725506,zero_shot_resnet18_vessshape,0,,,vessshape,resnet18_unet,Zero-Shot VSUNet18,zero_shot,__zero_shot_raw__,False,vessshape
