image,Accuracy,IoU,Precision,Recall,Dice,AUC
1,0.957455575466156,0.010849909856915474,0.3181818127632141,0.011108172126114368,0.021466905251145363,0.7505253800054914
101,0.9544444680213928,0.0007311723311431706,0.13636364042758942,0.0007345739286392927,0.0014612762024626136,0.700122715983117
104,0.9657999873161316,0.0,0.0,0.0,0.0,0.7103411343751594
116,0.9529333114624023,0.0004719207063317299,0.0058309040032327175,0.0005132153164595366,0.0009433962404727936,0.7970700531544668
118,0.9509666562080383,0.011203226633369923,0.33112582564353943,0.01146263163536787,0.02215820923447609,0.7926705765380158
17,0.9525444507598877,0.012713823467493057,0.7236841917037964,0.012775842100381851,0.025108423084020615,0.7330842000425706
20,0.9288777709007263,0.0,0.0,0.0,0.0,0.6752334239128216
21,0.9525666832923889,0.00023419203353114426,0.009345794096589088,0.00024015369126573205,0.00046827440382912755,0.6286121999667933
31,0.9613666534423828,0.013617021031677723,0.4571428596973419,0.013840830884873867,0.026868177577853203,0.6823856067194322
33,0.9638333320617676,0.0033680342603474855,0.40740740299224854,0.003384615294635296,0.006713457405567169,0.610587245400133
34,0.9677110910415649,0.001374570420011878,0.1599999964237213,0.0013845621142536402,0.002745367120951414,0.6458727284202183
39,0.9616555571556091,0.0,0.0,0.0,0.0,0.7174865679834876
54,0.9660333395004272,0.0,0.0,0.0,0.0,0.7599402826932043
59,0.9413111209869385,0.009005628526210785,0.12532636523246765,0.009609609842300415,0.017850501462817192,0.642509253562721
64,0.9447222352027893,0.0,0.0,0.0,0.0,0.7272430344185455
65,0.9455778002738953,0.0024439918342977762,0.06382978707551956,0.0025348542258143425,0.004876066464930773,0.7510917597556556
74,0.9362778067588806,0.002435206202790141,0.48275861144065857,0.002441576449200511,0.00485858041793108,0.7161960843827787
8,0.9526000022888184,0.0016381932655349374,0.08641975373029709,0.0016670635668560863,0.003271027933806181,0.6739215109035721
85,0.9318555593490601,0.0,0.0,0.0,0.0,0.5850421627905478
9,0.9489111304283142,0.0,0.0,0.0,0.0,0.5727622690690587
90,0.9486666917800903,0.024493243545293808,0.2729411721229553,0.026202846318483353,0.04781533405184746,0.7418080166269942
