image,Accuracy,IoU,Precision,Recall,Dice,AUC
03_test,0.8543107509613037,0.0,0.0,0.0,0.0,0.5205950270192791
11_test,0.8703635334968567,0.0,0.0,0.0,0.0,0.5194002950398119
01_test,0.8689170479774475,0.0,0.0,0.0,0.0,0.5491572598078565
09_test,0.8825441598892212,0.0,0.0,0.0,0.0,0.54280161816601
07_test,0.8676007390022278,0.0,0.0,0.0,0.0,0.5075728506449539
10_test,0.8805623650550842,0.0,0.0,0.0,0.0,0.5326160129645842
13_test,0.8582329750061035,0.0,0.0,0.0,0.0,0.5413050126919108
12_test,0.8748270273208618,0.0,0.0,0.0,0.0,0.5576759326569738
19_test,0.8796462416648865,0.0,0.0,0.0,0.0,0.5157070701094125
20_test,0.8933558464050293,0.0,0.0,0.0,0.0,0.5445161256612974
14_test,0.8820875287055969,0.0,0.0,0.0,0.0,0.5105479809901842
05_test,0.8642997145652771,0.0,0.0,0.0,0.0,0.5146243697659024
08_test,0.8743118643760681,0.0,0.0,0.0,0.0,0.5508601372831599
06_test,0.858878493309021,0.0,0.0,0.0,0.0,0.5352075059369499
15_test,0.8961626291275024,0.0,0.0,0.0,0.0,0.4904612957105812
02_test,0.8501779437065125,0.0,0.0,0.0,0.0,0.47989898390381186
16_test,0.8691621422767639,0.0,0.0,0.0,0.0,0.496292553864787
17_test,0.8767021894454956,0.0,0.0,0.0,0.0,0.541772906750813
04_test,0.8666692972183228,0.0,0.0,0.0,0.0,0.48414362237362274
18_test,0.8851378560066223,0.0,0.0,0.0,0.0,0.5000420529629837
