image,Accuracy,IoU,Precision,Recall,Dice,AUC
10011,0.9092812538146973,0.0,0.0,0.0,0.0,0.5239248162669128
10018,0.8887125253677368,0.0,0.0,0.0,0.0,0.5163574107987826
10021,0.8823624849319458,0.0,0.0,0.0,0.0,0.5773704995050986
10025,0.926368772983551,0.0,0.0,0.0,0.0,0.5498027217642827
10030,0.9037874937057495,0.0,0.0,0.0,0.0,0.5499596816761797
10039,0.9164249897003174,0.0,0.0,0.0,0.0,0.5382966961998109
10042,0.9397249817848206,0.0,0.0,0.0,0.0,0.5381708005424074
10049,0.8980562686920166,0.0,0.0,0.0,0.0,0.5401048266235697
10054,0.9114312529563904,0.0,0.0,0.0,0.0,0.5465991729813513
10056,0.901968777179718,0.0,0.0,0.0,0.0,0.5087538554925216
10057,0.9104312658309937,0.0,0.0,0.0,0.0,0.5579388627918995
10067,0.9165812730789185,0.0,0.0,0.0,0.0,0.5117886802250614
10077,0.8948749899864197,0.0,0.0,0.0,0.0,0.5334253448383822
10092,0.8690999746322632,0.0,0.0,0.0,0.0,0.5160676963775124
10101,0.9235374927520752,0.0,0.0,0.0,0.0,0.5389131894092563
10106,0.8945062756538391,0.0,0.0,0.0,0.0,0.5315203634101986
10110,0.9137750267982483,0.0,0.0,0.0,0.0,0.5634844422849308
10116,0.8952687382698059,0.0,0.0,0.0,0.0,0.5425028788136601
10123,0.9027937650680542,0.0,0.0,0.0,0.0,0.5148042709163709
10127,0.9143249988555908,0.0,0.0,0.0,0.0,0.5144051877697291
10129,0.8934375047683716,0.0,0.0,0.0,0.0,0.5409761118616008
10132,0.9217437505722046,0.0,0.0,0.0,0.0,0.5321694350310009
10136,0.9316999912261963,0.0,0.0,0.0,0.0,0.4598048027137652
10149,0.9361249804496765,0.0,0.0,0.0,0.0,0.58448718949567
10155,0.891587495803833,0.0,0.0,0.0,0.0,0.5111653545352791
10175,0.9103749990463257,0.0,0.0,0.0,0.0,0.5612317980907755
10181,0.9167437553405762,0.0,0.0,0.0,0.0,0.5221270996515252
10184,0.930275022983551,0.0,0.0,0.0,0.0,0.5052994727989952
10185,0.9355999827384949,0.0,0.0,0.0,0.0,0.49302706610397073
10186,0.9106937646865845,0.0,0.0,0.0,0.0,0.529881884844355
10189,0.9088312387466431,0.0,0.0,0.0,0.0,0.5279425247269376
10205,0.9107375144958496,0.0,0.0,0.0,0.0,0.5091028870020651
10211,0.8962937593460083,0.0,0.0,0.0,0.0,0.5448359803704945
10214,0.9171249866485596,0.0,0.0,0.0,0.0,0.514408494539238
10216,0.8985249996185303,0.0,0.0,0.0,0.0,0.545181127135224
10232,0.9205312728881836,0.0,0.0,0.0,0.0,0.5209850409331165
10243,0.904731273651123,0.0,0.0,0.0,0.0,0.5525755144959215
10244,0.8988375067710876,0.0,0.0,0.0,0.0,0.5662139337682716
10245,0.9269124865531921,0.0,0.0,0.0,0.0,0.5381845983663668
10254,0.8940250277519226,0.0,0.0,0.0,0.0,0.5730838803055558
10262,0.8769000172615051,0.0,0.0,0.0,0.0,0.5390426643074284
10263,0.9042312502861023,0.0,0.0,0.0,0.0,0.5623142387571506
10267,0.9208124876022339,0.0,0.0,0.0,0.0,0.5462192032651065
10275,0.8920937776565552,0.0,0.0,0.0,0.0,0.5355734370958413
10277,0.9106812477111816,0.0,0.0,0.0,0.0,0.5585367729596598
10287,0.9137687683105469,0.0,0.0,0.0,0.0,0.5487365211368308
10295,0.9041937589645386,0.0,0.0,0.0,0.0,0.5395074797337478
10304,0.9346216917037964,0.0,0.0,0.0,0.0,0.5109590363154923
10306,0.9529085755348206,0.0,0.0,0.0,0.0,0.42270548855720236
10334,0.9451069235801697,0.0,0.0,0.0,0.0,0.4692110473938066
10337,0.9311158061027527,0.0,0.0,0.0,0.0,0.5625035893947783
10341,0.9263331294059753,0.0,0.0,0.0,0.0,0.49660474160305035
10344,0.939285397529602,0.0,0.0,0.0,0.0,0.5045542520379633
10355,0.9461565017700195,0.0,0.0,0.0,0.0,0.5213250684713892
10359,0.9311482906341553,0.0,0.0,0.0,0.0,0.5254403601825459
10372,0.937207818031311,0.0,0.0,0.0,0.0,0.5307243698593866
10374,0.9230868816375732,0.0,0.0,0.0,0.0,0.5359090479889496
10376,0.9364287853240967,0.0,0.0,0.0,0.0,0.5200636795694182
10380,0.9350653290748596,0.0,0.0,0.0,0.0,0.45871667727117904
10386,0.9440356492996216,0.0,0.0,0.0,0.0,0.4792680615402879
10406,0.9368183016777039,0.0,0.0,0.0,0.0,0.47625652531255336
10409,0.9288326501846313,0.0,0.0,0.0,0.0,0.5257348132082943
10413,0.9360716938972473,0.0,0.0,0.0,0.0,0.48894886490904643
10424,0.9248290061950684,0.0,0.0,0.0,0.0,0.5339359508872528
10429,0.9361907243728638,0.0,0.0,0.0,0.0,0.5319902305935782
10437,0.9137054085731506,0.0,0.0,0.0,0.0,0.5514935593953508
10440,0.9382466077804565,0.0,0.0,0.0,0.0,0.5190517653691349
10446,0.9314296245574951,0.0,0.0,0.0,0.0,0.4698242358125494
10448,0.941698431968689,0.0,0.0,0.0,0.0,0.529929116158129
10457,0.9461565017700195,0.0,0.0,0.0,0.0,0.548219801341039
10471,0.930553138256073,0.0,0.0,0.0,0.0,0.49860014807826236
10487,0.9228488802909851,0.0,0.0,0.0,0.0,0.5091312437100097
10492,0.9175575375556946,0.0,0.0,0.0,0.0,0.5413643351969654
10495,0.9265603423118591,0.0,0.0,0.0,0.0,0.49702742008859685
10500,0.926939070224762,0.0,0.0,0.0,0.0,0.5204164420022148
