image,Accuracy,IoU,Precision,Recall,Dice,AUC
03_test,0.5410296320915222,0.10615498572587967,0.1290755718946457,0.37414097785949707,0.19193510711193085,0.4454270867286694
11_test,0.4740051031112671,0.08084744215011597,0.09463439136743546,0.35688889026641846,0.1496001034975052,0.3929100147136323
01_test,0.5090673565864563,0.10687153041362762,0.12306729704141617,0.4481504261493683,0.1931055635213852,0.47504495230880917
09_test,0.5664587616920471,0.10101102292537689,0.11780326813459396,0.41473448276519775,0.18348775804042816,0.4849340603344287
07_test,0.3881980776786804,0.11072805523872375,0.12058177590370178,0.5753715634346008,0.19937923550605774,0.463171998448232
10_test,0.6085813045501709,0.08654902130365372,0.1071392297744751,0.31051120162010193,0.15930992364883423,0.4343529556273544
13_test,0.49874284863471985,0.08675491809844971,0.10471725463867188,0.335886150598526,0.15965867042541504,0.40215705381239886
12_test,0.5534939765930176,0.07558033615350723,0.09257423132658005,0.29164618253707886,0.14053870737552643,0.40349457652322834
19_test,0.48017045855522156,0.08546294271945953,0.09781453758478165,0.4036248028278351,0.15746818482875824,0.4186778679428779
20_test,0.5050917863845825,0.08930405229330063,0.09999728202819824,0.45507746934890747,0.1639653444290161,0.47404260341500504
14_test,0.4488740563392639,0.08920352905988693,0.09974227845668793,0.4577747881412506,0.16379588842391968,0.4307590049110913
05_test,0.5345179438591003,0.10923317074775696,0.12857750058174133,0.42064210772514343,0.19695259630680084,0.4713172725228078
08_test,0.5596719980239868,0.09784428030252457,0.11643539369106293,0.3799583315849304,0.17824800312519073,0.4798015181322914
06_test,0.4895186424255371,0.10491957515478134,0.1223585456609726,0.42401495575904846,0.18991351127624512,0.42766664476317406
15_test,0.6276726722717285,0.06860210746526718,0.08481469005346298,0.2641029953956604,0.12839597463607788,0.4275414086114715
02_test,0.4459075927734375,0.12238320708274841,0.1382731795310974,0.5157310962677002,0.2180774062871933,0.4578153366204689
16_test,0.5920665264129639,0.09111902862787247,0.11395425349473953,0.31257763504981995,0.16701941192150116,0.4542286252852209
17_test,0.5888288021087646,0.07399874180555344,0.09292600303888321,0.26648953557014465,0.1378004252910614,0.42739837015513704
04_test,0.52923184633255,0.10301406681537628,0.12134002894163132,0.40549716353416443,0.186786487698555,0.45956228347300654
18_test,0.6113429665565491,0.09370966255664825,0.11346805095672607,0.3498699367046356,0.17136113345623016,0.49475000214687964
