image,Accuracy,IoU,Precision,Recall,Dice,AUC
10571,0.6924285888671875,0.038952987641096115,0.2413589358329773,0.04438769817352295,0.0749850869178772,0.3880865896758405
11098,0.782440185546875,0.035579003393650055,0.2660596966743469,0.039450984448194504,0.06871326267719269,0.5048030523790507
12005,0.7854461669921875,0.03685183823108673,0.2543735206127167,0.04131469875574112,0.07108409702777863,0.5066880227891866
12455,0.7040863037109375,0.09858696907758713,0.15619707107543945,0.2109188586473465,0.17947958409786224,0.46000710638305803
12943,0.7148895263671875,0.10090462863445282,0.18698172271251678,0.17978395521640778,0.18331220746040344,0.4641103514801431
13528,0.797210693359375,0.023081446066498756,0.11190306395292282,0.028257738798856735,0.04512142390012741,0.36597025659231985
14225,0.7337493896484375,0.019278327003121376,0.20070216059684753,0.0208815298974514,0.03782740607857704,0.43688138950017985
15577,0.6537933349609375,0.09007419645786285,0.16313189268112183,0.167449489235878,0.16526250541210175,0.4652874782553977
1643,0.6817474365234375,0.08183658868074417,0.3381844758987427,0.09744208306074142,0.15129196643829346,0.495154288786049
16766,0.703460693359375,0.04851897060871124,0.1610334813594818,0.06493251025676727,0.09254762530326843,0.4398992290430853
1816,0.598907470703125,0.03452581912279129,0.38258036971092224,0.036563072353601456,0.06674714386463165,0.5030393187671535
2958,0.7452545166015625,0.0529271624982357,0.25311991572380066,0.06272269040346146,0.1005333736538887,0.5105831860783634
3882,0.84271240234375,0.026353074237704277,0.10398807376623154,0.034095074981451035,0.0513528436422348,0.42074932715520363
4413,0.7061614990234375,0.04729629307985306,0.2153153121471405,0.05714627355337143,0.09032075107097626,0.459941110430774
525,0.77337646484375,0.038954317569732666,0.23171670734882355,0.044731758534908295,0.07498754560947418,0.4568492823027539
8256,0.77203369140625,0.09030018746852875,0.1662369668483734,0.1650528609752655,0.16564279794692993,0.5023633125956294
8284,0.80950927734375,0.019555484876036644,0.17412588000297546,0.02155470848083496,0.03836080804467201,0.42527331425249415
8353,0.7737579345703125,0.04446735978126526,0.24846957623958588,0.05137751251459122,0.0851483941078186,0.5029171168891959
9284,0.5299530029296875,0.1328885853290558,0.497943252325058,0.15344861149787903,0.23460133373737335,0.4886778067837474
9523,0.7484588623046875,0.040118783712387085,0.26622873544692993,0.04510638117790222,0.07714270055294037,0.46665185733743186
