image,Accuracy,IoU,Precision,Recall,Dice,AUC
01_test,0.8705348372459412,0.24591143429279327,0.5097669959068298,0.3220794200897217,0.3947494626045227,0.7192842596258536
02_test,0.8990035057067871,0.4159344434738159,0.7569197416305542,0.48005813360214233,0.5875052213668823,0.8049353259493528
03_test,0.8778923153877258,0.19615620374679565,0.8274080157279968,0.20452472567558289,0.32797756791114807,0.7084794850193352
04_test,0.8986936211585999,0.2658812403678894,0.8871653079986572,0.27518701553344727,0.4200729429721832,0.825392202469817
05_test,0.8762192726135254,0.23333877325057983,0.5939620733261108,0.27762314677238464,0.3783855438232422,0.7458024456617273
06_test,0.8853489756584167,0.3258987367153168,0.6568392515182495,0.39277371764183044,0.49158918857574463,0.7956951950244852
07_test,0.8836411833763123,0.13709650933742523,0.8831304907798767,0.1396297812461853,0.24113434553146362,0.6932320435935553
08_test,0.8911377787590027,0.15625214576721191,0.8580876588821411,0.1603970229625702,0.27027347683906555,0.7426305728578775
09_test,0.8887463808059692,0.05896340310573578,0.9006810188293457,0.059349291026592255,0.11136060953140259,0.7018743874475096
10_test,0.906440794467926,0.24775412678718567,0.8619416952133179,0.25799205899238586,0.39712008833885193,0.8101103391339368
11_test,0.8863239288330078,0.16196362674236298,0.7852212190628052,0.16947144269943237,0.27877572178840637,0.7229399043837756
12_test,0.8927352428436279,0.18243922293186188,0.7988269925117493,0.19122499227523804,0.30858114361763,0.7655383872336389
13_test,0.884452760219574,0.2372620701789856,0.7870824933052063,0.2535346746444702,0.38352757692337036,0.7734875024733774
14_test,0.8870686292648315,0.31849515438079834,0.5247633457183838,0.4475986659526825,0.4831191897392273,0.7772690179858759
15_test,0.9136388897895813,0.25359177589416504,0.712059736251831,0.28256818652153015,0.4045843183994293,0.8125018389548239
16_test,0.8877748250961304,0.15766745805740356,0.8977102041244507,0.16055184602737427,0.27238816022872925,0.7296835722910529
17_test,0.8609994649887085,0.23896551132202148,0.42376962304115295,0.3539908826351166,0.38575005531311035,0.7443530485942762
18_test,0.8825457096099854,0.3003951609134674,0.48747238516807556,0.4390682280063629,0.46200594305992126,0.7751908967067891
19_test,0.8867398500442505,0.35563451051712036,0.5300764441490173,0.5193846821784973,0.5246760845184326,0.8331762655329347
20_test,0.9041547179222107,0.11580099910497665,0.8774193525314331,0.11770524084568024,0.20756568014621735,0.7538008849109077
