image,Accuracy,IoU,Precision,Recall,Dice,AUC
1,0.0564444437623024,0.04262635111808777,0.04262635111808777,1.0,0.0817672610282898,0.6335032172168031
101,0.0616111122071743,0.04612656682729721,0.04612656682729721,1.0,0.08818543702363968,0.4620199422970088
104,0.050744444131851196,0.03464445844292641,0.034647200256586075,0.9977220892906189,0.06696882098913193,0.391926225891536
116,0.056533332914114,0.043816085904836655,0.04381904751062393,0.9984603524208069,0.08395365625619888,0.5382539124425789
118,0.06244444474577904,0.049078717827796936,0.04908258840441704,0.9983952045440674,0.09356536716222763,0.566234742899478
17,0.06375555694103241,0.048510581254959106,0.04851550981402397,0.997909426689148,0.09253235906362534,0.5750811574880771
20,0.08420000225305557,0.07190793752670288,0.07190793752670288,1.0,0.1341681182384491,0.6088071173344236
21,0.05991110950708389,0.04684225842356682,0.04684542492032051,0.9985590577125549,0.08949248492717743,0.48692478158760316
31,0.056555554270744324,0.03924053534865379,0.03924053534865379,1.0,0.07551771402359009,0.5125989903209197
33,0.050566665828228,0.036640774458646774,0.036640774458646774,1.0,0.07069136202335358,0.5506076382176901
34,0.04731111228466034,0.03259581699967384,0.03259581699967384,1.0,0.06313373893499374,0.570985054621251
39,0.049844443798065186,0.03804445639252663,0.03806329518556595,0.9871570467948914,0.07330024242401123,0.4937266835261321
54,0.04874444380402565,0.03301481902599335,0.03301854804158211,0.9965904951095581,0.06391935050487518,0.612948118917132
59,0.06817777454853058,0.0562126524746418,0.0562126524746418,1.0,0.1064419224858284,0.6277754149655803
64,0.06983333081007004,0.055828116834163666,0.055843234062194824,0.9951748847961426,0.10575228184461594,0.6735102059323257
65,0.0665111094713211,0.052947212010622025,0.052969302982091904,0.9921842217445374,0.10056954622268677,0.4035653551230236
74,0.07720000296831131,0.06444527208805084,0.06445471197366714,0.9977328181266785,0.12108705192804337,0.5078074160511081
8,0.06254444271326065,0.047408830374479294,0.047408830374479294,1.0,0.09052593261003494,0.5740698250965637
85,0.08104444295167923,0.06878342479467392,0.06879349797964096,0.9978765249252319,0.12871350347995758,0.548795246435258
9,0.07204444706439972,0.05202102288603783,0.05202102288603783,1.0,0.0988973081111908,0.5417039599118709
90,0.06257777661085129,0.04984571039676666,0.04984627291560173,0.9997740983963013,0.09495816379785538,0.583198439868561
