image,Accuracy,IoU,Precision,Recall,Dice,AUC
1,0.9682999849319458,0.4833393692970276,0.6052154302597046,0.7058979272842407,0.6516909003257751,0.9567423455249132
101,0.917377769947052,0.3299693763256073,0.34301236271858215,0.8966699242591858,0.4962059557437897,0.9697736392318873
104,0.9412444233894348,0.3351772725582123,0.35325294733047485,0.8675561547279358,0.5020715594291687,0.9713890811749006
116,0.9327666759490967,0.3334434926509857,0.3687865436077118,0.7767513394355774,0.500123918056488,0.9526508599896696
118,0.9519777894020081,0.010983982123434544,0.8571428656578064,0.011004126630723476,0.02172928862273693,0.9384115180178095
17,0.9433333277702332,0.41807395219802856,0.4510648846626282,0.8511033654212952,0.5896363258361816,0.9467490781631829
20,0.8467888832092285,0.3093067407608032,0.3126107454299927,0.9669589996337891,0.472474068403244,0.9709288084221536
21,0.9565222263336182,0.39604878425598145,0.5257119536399841,0.6162343621253967,0.5673853158950806,0.7865798951256108
31,0.9612444639205933,0.4540616571903229,0.49828237295150757,0.8365051746368408,0.6245425343513489,0.9754371525176916
33,0.9601666927337646,0.44435834884643555,0.4724007248878479,0.8821538686752319,0.6153020858764648,0.9776762136998447
34,0.9691110849380493,0.4389505684375763,0.5128507614135742,0.752855658531189,0.6100981831550598,0.9691252069791128
39,0.9304999709129333,0.2318555861711502,0.2858440577983856,0.5510799884796143,0.37643304467201233,0.9168381571156149
54,0.9621666669845581,0.45537427067756653,0.4617255926132202,0.9706785082817078,0.6257830262184143,0.991558338836611
59,0.9630110859870911,0.5469515323638916,0.6307281851768494,0.8046045899391174,0.7071346640586853,0.9587421843347966
64,0.9352444410324097,0.4043944776058197,0.45130017399787903,0.7955368161201477,0.5758987069129944,0.9578123368039811
65,0.9085222482681274,0.3427271246910095,0.355233758687973,0.9068440794944763,0.5104941129684448,0.9613319528476559
74,0.7860999703407288,0.2218988686800003,0.22410906851291656,0.957446813583374,0.36320334672927856,0.9562266080013653
8,0.9518555402755737,0.009373570792376995,0.18981482088565826,0.009764229878783226,0.01857304573059082,0.7325986507450868
85,0.8806666731834412,0.1587028056383133,0.23367935419082642,0.33093759417533875,0.2739318609237671,0.752975798790669
9,0.9545221924781799,0.38134825229644775,0.5537752509117126,0.5505127906799316,0.552139163017273,0.8848098628900216
90,0.891777753829956,0.2690980136394501,0.287224680185318,0.8100293874740601,0.424077570438385,0.9174232240999723
