image,Accuracy,IoU,Precision,Recall,Dice,AUC
03_test,0.8697674870491028,0.12058752775192261,0.8814782500267029,0.12257495522499084,0.21522197127342224,0.7214067077502752
11_test,0.8776545524597168,0.11371152102947235,0.651247501373291,0.12108489125967026,0.2042028307914734,0.7160952458093701
01_test,0.8729459643363953,0.11745402961969376,0.5676241517066956,0.12899497151374817,0.2102171927690506,0.6585912444595912
09_test,0.8851401209831238,0.03262920305132866,0.7519181370735168,0.03298429399728775,0.06319636106491089,0.6224241690356
07_test,0.8687075972557068,0.009247290901839733,0.9117646813392639,0.009255573153495789,0.01832512393593788,0.6931930191752214
10_test,0.8916958570480347,0.10680210590362549,0.8769735097885132,0.10842663794755936,0.1929922252893448,0.7709932382489525
13_test,0.8798813223838806,0.25086352229118347,0.6840845942497253,0.28373435139656067,0.40110456943511963,0.761103936898389
12_test,0.8837943077087402,0.11092809587717056,0.7238429188728333,0.11583011597394943,0.19970346987247467,0.7000540890280488
19_test,0.8995461463928223,0.3029387593269348,0.6475960612297058,0.36273613572120667,0.4650084376335144,0.8012859679258288
20_test,0.8976103663444519,0.056689340621232986,0.7641921639442444,0.05769864842295647,0.10729613900184631,0.7150683988474734
14_test,0.893143355846405,0.1901070475578308,0.6413449645042419,0.2127220183610916,0.3194788992404938,0.7439453581094058
05_test,0.8772953152656555,0.16632351279258728,0.6806691884994507,0.1804000288248062,0.28520992398262024,0.7290113594758885
08_test,0.88205885887146,0.07779359072446823,0.818779706954956,0.07915651053190231,0.1443571299314499,0.6981075807907969
06_test,0.868649959564209,0.0783134400844574,0.889316976070404,0.07908425480127335,0.14525172114372253,0.7374229848084456
15_test,0.8983306288719177,0.0510999821126461,0.6234351396560669,0.05272742733359337,0.0972314402461052,0.6760910480002551
02_test,0.8550116419792175,0.0428776741027832,0.7962962985038757,0.04335319995880127,0.08222953230142593,0.7481675117264641
16_test,0.872499942779541,0.028576208278536797,0.9008438587188721,0.02866637520492077,0.05556459352374077,0.6793670099829583
17_test,0.8859237432479858,0.1532319039106369,0.6437940001487732,0.16742666065692902,0.2657434344291687,0.7081071126130825
04_test,0.8666692972183228,0.0,0.0,0.0,0.0,0.7385590032430424
18_test,0.8871412873268127,0.018230460584163666,0.9578313231468201,0.01824510470032692,0.035808123648166656,0.7011335500759797
